,collection_date,geo_loc_name,isolation_source,ww_population,ww_sample_duration,ww_sample_matrix,ww_sample_type,ww_surv_target_1,ww_surv_target_1_known_present,collected_by,BioSampleModel,assembly,experiment_id,SRA_id,fasta_file,Sample
SRR28230175,2023-10-19,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230175,SRX23841681,,
SRR28230179,2023-10-18,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230179,SRX23841677,,
SRR28230180,2023-10-17,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230180,SRX23841676,,
SRR28230187,2023-10-17,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230187,SRX23841669,,
SRR28230190,2023-10-16,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230190,SRX23841666,,
SRR28230192,2023-10-16,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230192,SRX23841664,,
SRR28230191,2023-10-15,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230191,SRX23841665,,
SRR28230188,2023-10-15,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230188,SRX23841668,,
SRR28230193,2023-10-13,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230193,SRX23841663,,
SRR28230196,2023-10-11,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230196,SRX23841660,,
SRR28230197,2023-10-10,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230197,SRX23841659,,
SRR28230497,2023-10-09,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230497,SRX23841900,,
SRR28230499,2023-10-09,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230499,SRX23841898,,
SRR28230495,2023-10-08,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230495,SRX23841902,,
SRR28230498,2023-10-08,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230498,SRX23841899,,
SRR28230500,2023-10-05,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230500,SRX23841897,,
SRR28230496,2023-10-05,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230496,SRX23841901,,
SRR28230504,2023-10-04,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230504,SRX23841893,,
SRR28230505,2023-10-03,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230505,SRX23841892,,
SRR28230519,2023-10-02,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230519,SRX23841878,,
SRR28230524,2023-10-02,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230524,SRX23841873,,
SRR28230351,2023-10-01,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230351,SRX23841504,,
SRR28230508,2023-10-01,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230508,SRX23841889,,
SRR28230506,2023-09-28,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230506,SRX23841891,,
SRR28230517,2023-09-27,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230517,SRX23841880,,
SRR28230362,2023-09-27,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230362,SRX23841493,,
SRR28230518,2023-09-26,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230518,SRX23841879,,
SRR28230363,2023-09-25,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230363,SRX23841492,,
SRR28230360,2023-09-25,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230360,SRX23841495,,
SRR28230358,2023-09-24,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230358,SRX23841497,,
SRR28230361,2023-09-24,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230361,SRX23841494,,
SRR28230364,2023-09-21,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230364,SRX23841491,,
SRR28230359,2023-09-21,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230359,SRX23841496,,
SRR28230365,2023-09-20,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230365,SRX23841490,,
SRR28230366,2023-09-19,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230366,SRX23841489,,
SRR28230531,2023-09-19,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230531,SRX23841866,,
SRR28230527,2023-09-19,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230527,SRX23841870,,
SRR28230529,2023-09-18,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230529,SRX23841868,,
SRR28230530,2023-09-17,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230530,SRX23841867,,
SRR28230532,2023-09-15,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230532,SRX23841865,,
SRR28230528,2023-09-14,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230528,SRX23841869,,
SRR28230533,2023-09-13,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230533,SRX23841864,,
SRR28230546,2023-09-12,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230546,SRX23841851,,
SRR28230534,2023-09-12,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230534,SRX23841863,,
SRR28230542,2023-09-12,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230542,SRX23841855,,
SRR28230544,2023-09-11,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230544,SRX23841853,,
SRR28230545,2023-09-10,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230545,SRX23841852,,
SRR28230543,2023-09-07,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230543,SRX23841854,,
SRR28230548,2023-09-06,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230548,SRX23841654,,
SRR28230211,2023-09-06,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230211,SRX23841645,,
SRR28230214,2023-09-05,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230214,SRX23841642,,
SRR28230213,2023-09-05,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230213,SRX23841643,,
SRR28230218,2023-09-05,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230218,SRX23841638,,
SRR28230216,2023-09-04,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230216,SRX23841640,,
SRR28230217,2023-09-03,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230217,SRX23841639,,
SRR28230215,2023-09-03,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230215,SRX23841641,,
SRR28230219,2023-08-30,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230219,SRX23841637,,
SRR28230221,2023-08-30,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230221,SRX23841635,,
SRR28230222,2023-08-29,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230222,SRX23841634,,
SRR28230224,2023-08-29,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230224,SRX23841632,,
SRR28230228,2023-08-28,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230228,SRX23841628,,
SRR28230226,2023-08-28,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230226,SRX23841630,,
SRR28230227,2023-08-27,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230227,SRX23841629,,
SRR28230225,2023-08-27,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230225,SRX23841631,,
SRR28230447,2023-08-23,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230447,SRX23841950,,
SRR28230229,2023-08-23,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230229,SRX23841627,,
SRR28230448,2023-08-22,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230448,SRX23841949,,
SRR28230449,2023-08-21,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230449,SRX23841948,,
SRR28230450,2023-08-20,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230450,SRX23841947,,
SRR28230452,2023-08-09,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230452,SRX23841945,,
SRR28230453,2023-08-08,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230453,SRX23841944,,
SRR28230456,2023-08-08,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230456,SRX23841941,,
SRR28230458,2023-08-07,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230458,SRX23841939,,
SRR28230459,2023-08-06,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230459,SRX23841938,,
SRR28230454,2023-08-04,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230454,SRX23841943,,
SRR28230457,2023-08-03,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230457,SRX23841940,,
SRR28230455,2023-08-03,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230455,SRX23841942,,
SRR28230460,2023-07-26,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230460,SRX23841937,,
SRR28230461,2023-07-25,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230461,SRX23841936,,
SRR28230234,2023-07-25,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230234,SRX23841622,,
SRR28230231,2023-07-24,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230231,SRX23841625,,
SRR28230232,2023-07-23,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230232,SRX23841624,,
SRR28230463,2023-07-23,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230463,SRX23841934,,
SRR28230235,2023-07-20,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230235,SRX23841621,,
SRR28230220,2023-07-19,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230220,SRX23841636,,
SRR28230233,2023-07-18,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230233,SRX23841623,,
SRR28230465,2023-07-18,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230465,SRX23841626,,
SRR28230241,2023-07-17,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230241,SRX23841615,,
SRR28230238,2023-07-17,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230238,SRX23841618,,
SRR28230240,2023-07-16,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230240,SRX23841616,,
SRR28230236,2023-07-16,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230236,SRX23841620,,
SRR28230242,2023-07-14,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230242,SRX23841614,,
SRR28230237,2023-07-13,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230237,SRX23841619,,
SRR28230243,2023-07-12,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230243,SRX23841613,,
SRR28230244,2023-07-11,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230244,SRX23841612,,
SRR28230249,2023-07-11,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230249,SRX23841607,,
SRR28230245,2023-07-10,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230245,SRX23841611,,
SRR28230246,2023-07-09,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230246,SRX23841610,,
SRR28230247,2023-07-09,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230247,SRX23841609,,
SRR28230251,2023-07-07,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230251,SRX23841605,,
SRR28230248,2023-07-06,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230248,SRX23841608,,
SRR28230550,2023-07-06,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230550,SRX23841847,,
SRR28230252,2023-07-05,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230252,SRX23841604,,
SRR28230255,2023-07-04,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230255,SRX23841601,,
SRR28230253,2023-07-04,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230253,SRX23841603,,
SRR28230257,2023-07-03,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230257,SRX23841599,,
SRR28230256,2023-07-02,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230256,SRX23841600,,
SRR28230258,2023-07-02,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230258,SRX23841849,,
SRR28230549,2023-06-28,"USA: California, San Diego (Encina)",city-wide wastewater treatment facility,379000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230549,SRX23841848,,
SRR28230553,2023-06-28,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230553,SRX23841844,,
SRR28230554,2023-06-27,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230554,SRX23841843,,
SRR28230254,2023-06-27,"USA: California, San Diego (South Bay)",city-wide wastewater treatment facility,100000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230254,SRX23841602,,
SRR28230555,2023-06-26,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230555,SRX23841842,,
SRR28230556,2023-06-25,"USA: California, San Diego (Point Loma)",city-wide wastewater treatment facility,2300000,24,raw wastewater,composite,SARS-CoV-2,yes,SEARCH,SARS-CoV-2: wastewater surveillance,NC_045512,SRR28230556,SRX23841841,,
